Wavelength,ZnS 6.25-12.5µm (MIRMIS),CdTe 12.5-25µm (MIRMIS),Mesh 25-50µm (MIRMIS),Mesh 50-100µm (MIRMIS),Mesh 100-200µm (Cardiff),Low-pass 200µm (model),8.5-9.2µm (model filter),6.6-8.2µm (model filter),NaCl Spectrum
Filter number,1,2,3,4,5,6,7,8,9
5,5.59E-05,0,0.001471195,0,0,0,0,0,78.00714563
5.01,3.73E-05,0.00736841,0.001320857,0,0,0,0,0,78.25679995
5.02,2.80E-05,0.00864687,0.001176113,0,0,0,0,0,78.49016021
5.03,1.86E-05,0.0560081,0.001042551,0,0,0,0,0,78.72945225
5.04,1.87E-05,0.1201926,0.00093621,0,0,0,0,0,79.00438349
5.05,9.33E-06,0.0429091,0.000867197,0,0,0,0,0,79.27372583
5.06,9.32E-06,0.0182307,0.000828596,0,0,0,0,0,79.53681268
5.07,9.32E-06,0.00675884,0.000841674,0,0,0,0,0,79.79259355
5.08,9.32E-06,0.00771115,0.000870443,0,0,0,0,0,80.0458775
5.09,9.32E-06,0.00583958,0.000925042,0,0,0,0,0,80.29643884
5.1,0,0.0048412,0.00097253,0,0,0,0,0,80.54400212
5.11,0,0.00908313,0.0010154,0,0,0,0,0,80.78309617
5.12,0,0.00652017,0.001044901,0,0,0,0,0,81.01460292
5.13,0,0.00844351,0.001062941,0,0,0,0,0,81.23856818
5.14,0,0.00727812,0.001066746,0,0,0,0,0,81.46780992
5.15,0,0.011543,0.001058785,0,0,0,0,0,81.6990093
5.16,0,0.0204865,0.001030968,0,0,0,0,0,81.89170159
5.17,0,0.0315603,0.000994324,0,0,0,0,0,82.0764945
5.18,0,0.0452642,0.000947632,0,0,0,0,0,82.22873991
5.19,0,0.0512168,0.000902488,0,0,0,0,0,82.39226752
5.2,0,0.0413855,0.000837327,0,0,0,0,0,82.57783687
5.21,0,0.0314327,0.000781782,0,0,0,0,0,82.73798823
5.22,0,0.0165339,0.000726472,0,0,0,0,0,82.8743329
5.23,0,0.0150296,0.000677511,0,0,0,0,0,82.99353597
5.24,0,0.0104401,0.000613358,0,0,0,0,0,83.10462019
5.25,0,0.00864911,0.000569646,0,0,0,0,0,83.23262049
5.26,0,0.00897335,0.000529345,0,0,0,0,0,83.36407213
5.27,0,0.00349391,0.000490475,0,0,0,0,0,83.45889242
5.28,0,0.00790427,0.00044652,0,0,0,0,0,83.55235783
5.29,0,0.0071926,0.000413267,0,0,0,0,0,83.64393968
5.3,0,0.00863563,0.000385454,0,0,0,0,0,83.72810513
5.31,0,0.00377929,0.000365829,0,0,0,0,0,83.78387556
5.32,0,0.00338436,0.000347203,0,0,0,0,0,83.82527093
5.33,0,0.00761219,0.000324573,0,0,0,0,0,83.8340184
5.34,0,0.00998084,0.000302173,0,0,0,0,0,83.84322087
5.35,0,0.0118578,0.000277935,0,0,0,0,0,83.85313316
5.36,0,0.00545244,0.00025359,0,0,0,0,0,83.87787158
5.37,0,0.00289911,0.000220911,0,0,0,0,0,83.92009829
5.38,0,0.00184127,0.000206369,0,0,0,0,0,83.92361788
5.39,0,0.0021432,0.000179332,0,0,0,0,0,83.89080984
5.4,0,0.00377299,0.00015413,0,0,0,0,0,83.86332899
5.41,0,0.00525878,0.000139839,0,0,0,0,0,83.840055
5.42,0,0.00146698,0.000114965,0,0,0,0,0,83.82927424
5.43,0,0.00586362,0.000106763,0,0,0,0,0,83.82727088
5.44,0,0.00171862,8.90E-05,0,0,0,0,0,83.77323672
5.45,0,0.00595957,7.56E-05,0,0,0,0,0,83.68472829
5.46,0,0.00487088,6.58E-05,0,0,0,0,0,83.60172393
5.47,0,0.00243079,5.39E-05,0,0,0,0,0,83.5223739
5.48,0,0.00636524,4.53E-05,0,0,0,0,0,83.41596411
5.49,0,0.00423829,3.23E-05,0,0,0,0,0,83.2901767
5.5,0,0.00396176,2.61E-05,0,0,0,0,0,83.17562758
5.51,0,0.00599768,1.35E-05,0,0,0,0,0,83.07018207
5.52,9.33E-06,0.00489425,1.44E-05,0,0,0,0,0,82.93378377
5.53,9.33E-06,0.00347509,8.46E-06,0,0,0,0,0,82.76730046
5.54,9.33E-06,0.00923612,1.43E-05,0,0,0,0,0,82.57699649
5.55,9.34E-06,0.00508572,4.67E-06,0,0,0,0,0,82.35715904
5.56,9.33E-06,0.00690824,7.97E-06,0,0,0,0,0,82.14051664
5.57,9.33E-06,0.00608612,9.66E-06,0,0,0,0,0,81.92930605
5.58,1.87E-05,0.00146002,2.63E-06,0,0,0,0,0,81.71592481
5.59,1.87E-05,0.00284776,2.53E-06,0,0,0,0,0,81.49692369
5.6,1.87E-05,0.00537434,2.40E-06,0,0,0,0,0,81.28062878
5.61,2.80E-05,0.00565296,1.16E-05,0,0,0,0,0,81.07744569
5.62,3.73E-05,0.00186289,3.36E-06,0,0,0,0,0,80.87367952
5.63,4.67E-05,0.0050263,1.16E-06,0,0,0,0,0,80.65736253
5.64,5.60E-05,0.00609016,4.60E-06,0,0,0,0,0,80.44104555
5.65,6.54E-05,0.00331439,4.28E-07,0,0,0,0,0,80.1278668
5.66,8.41E-05,0.00468689,1.17E-05,0,0,0,0,0,79.80448095
5.67,0.000102679,0.00600527,9.09E-07,0,0,0,0,0,79.40812072
5.68,0.000139998,0.00250248,4.06E-07,0,0,0,0,0,78.98725171
5.69,0.000177391,0.00361663,1.51E-05,0,0,0,0,0,78.54001477
5.7,0.000233323,0.00542664,9.85E-06,0,0,0,0,0,78.0733646
5.71,0.000317321,0.0125955,3.63E-06,0,0,0,0,0,77.57821463
5.72,0.000419952,0.0121892,1.09E-05,0,0,0,0,0,77.03784356
5.73,0.000560348,0.00751248,8.78E-06,0,0,0,0,0,76.48073936
5.74,0.000756996,0.000658594,6.02E-06,0,0,0,0,0,75.8475585
5.75,0.001037027,0.00674277,1.68E-05,0,0,0,0,0,75.21437765
5.76,0.001454996,9.48E-05,1.07E-05,0,0,0,0,0,74.50296002
5.77,0.002063304,0.00942383,5.33E-06,0,0,0,0,0,73.7880161
5.78,0.002960159,0.00942488,1.53E-05,0,0,0,0,0,73.01483965
5.79,0.004235755,0.00938334,2.20E-06,0,0,0,0,0,72.21819889
5.8,0.006129869,0.0254305,5.58E-06,0,0,0,0,0,71.3566747
5.81,0.009063591,0.00208462,1.60E-05,0,0,0,0,0,70.41726973
5.82,0.013574728,0.00351018,4.25E-06,0,0,0,0,0,69.45690354
5.83,0.020531962,0.00844554,7.54E-06,0,0,0,0,0,68.40002472
5.84,0.031262525,0.00863679,6.05E-07,0,0,0,0,0,67.3431459
5.85,0.047598176,0.000924211,3.47E-06,0,0,0,0,0,66.20198076
5.86,0.071839405,0.0138953,8.91E-06,0,0,0,0,0,65.04980272
5.87,0.107405912,0.00186405,1.83E-07,0,0,0,0,0,63.86299102
5.88,0.157603527,0.00201967,8.47E-07,0,0,0,0,0,62.65029458
5.89,0.226897903,0.0147854,8.52E-07,0,0,0,0,0,61.42684352
5.9,0.31462241,0.00507484,1.31E-06,0,0,0,0,0,60.16966055
5.91,0.417503121,0,2.27E-06,0,0,0,0,0,58.91247758
5.92,0.534013215,0.00414366,6.33E-06,0,0,0,0,0,57.69876121
5.93,0.663143076,0.0111471,5.74E-06,0,0,0,0,0,56.49046516
5.94,0.803997822,0.00263605,8.06E-06,0,0,0,0,0,55.30230724
5.95,0.960034601,0.0138409,1.11E-05,0,0,0,0,0,54.13265324
5.96,1.140228052,0.00466988,1.05E-05,0,0,0,0,0,52.98092282
5.97,1.35047511,0.005957,2.00E-06,0,0,0,0,0,51.9449098
5.98,1.597972713,0.00624651,1.74E-07,0,0,0,0,0,50.90889678
