Wavelength,Ge 7µm ,Ge 7.25µm,Ge 7.5µm,Ge 7.8µm,Ge 8µm,Ge 8.28µm,Ge 8.55µm,Ge 8.75µm,Ge 9µm,Ge 9.5µm,Ge 10µm,ZnS 6.25-12.5µm,CdTe 12.5-25µm,Mesh 25-50µm,Mesh 50-100µm,Unfiltered,Perfect square filter 8.5-9.5µm (for 9µm NaCl peak),Mesh 100-200µm (Cardiff),Low pass filter?
Filter number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,
5,0.000102568,0.000102568,4.66E-05,7.46E-05,1.86E-05,9.32E-06,9.32E-06,1.86E-05,9.32E-06,0,0,5.59E-05,0,0.001471195,0,100,0,0,
5.01,0.000111892,0.000102568,5.59E-05,7.46E-05,9.32E-06,9.32E-06,9.32E-06,1.86E-05,9.32E-06,0,0,3.73E-05,0.00736841,0.001320857,0,100,0,0,
5.02,0.000121264,0.000102608,5.60E-05,7.46E-05,9.33E-06,1.87E-05,9.33E-06,1.87E-05,9.33E-06,0,0,2.80E-05,0.00864687,0.001176113,0,100,0,0,
5.03,0.00013053,0.00010256,5.59E-05,7.46E-05,9.32E-06,1.86E-05,1.86E-05,1.86E-05,9.32E-06,0,0,1.86E-05,0.0560081,0.001042551,0,100,0,0,
5.04,0.000149223,0.000102591,5.60E-05,7.46E-05,9.33E-06,1.87E-05,1.87E-05,2.80E-05,9.33E-06,0,0,1.87E-05,0.1201926,0.00093621,0,100,0,0,
5.05,0.000167862,0.000102583,6.53E-05,7.46E-05,9.33E-06,2.80E-05,2.80E-05,2.80E-05,9.33E-06,0,0,9.33E-06,0.0429091,0.000867197,0,100,0,0,
5.06,0.000195755,0.000102538,6.53E-05,8.39E-05,1.86E-05,3.73E-05,2.80E-05,3.73E-05,9.32E-06,0,0,9.32E-06,0.0182307,0.000828596,0,100,0,0,
5.07,0.000233073,0.000102552,6.53E-05,8.39E-05,1.86E-05,4.66E-05,3.73E-05,4.66E-05,9.32E-06,0,0,9.32E-06,0.00675884,0.000841674,0,100,0,0,
5.08,0.00027974,0.000102571,6.53E-05,9.32E-05,1.86E-05,5.59E-05,4.66E-05,4.66E-05,9.32E-06,0,0,9.32E-06,0.00771115,0.000870443,0,100,0,0,
5.09,0.000335653,0.000102561,7.46E-05,0.000102561,2.80E-05,6.53E-05,5.59E-05,5.59E-05,9.32E-06,0,0,9.32E-06,0.00583958,0.000925042,0,100,0,0,
5.1,0.000382304,0.000111894,7.46E-05,0.000121218,3.73E-05,6.53E-05,6.53E-05,6.53E-05,9.32E-06,0,0,0,0.0048412,0.00097253,0,100,0,0,
5.11,0.000428861,0.0001212,8.39E-05,0.000139846,4.66E-05,6.53E-05,6.53E-05,7.46E-05,9.32E-06,0,0,0,0.00908313,0.0010154,0,100,0,0,
5.12,0.000438181,0.000139845,8.39E-05,0.000167814,5.59E-05,6.53E-05,6.53E-05,7.46E-05,9.32E-06,0,0,0,0.00652017,0.001044901,0,100,0,0,
5.13,0.000410189,0.000158482,8.39E-05,0.000205094,6.53E-05,6.53E-05,6.53E-05,6.53E-05,9.32E-06,9.32E-06,0,0,0.00844351,0.001062941,0,100,0,0,
5.14,0.00036373,0.000186528,9.33E-05,0.000242487,6.53E-05,6.53E-05,6.53E-05,6.53E-05,9.33E-06,9.33E-06,0,0,0.00727812,0.001066746,0,100,0,0,
5.15,0.000307732,0.000223805,9.33E-05,0.000270431,6.53E-05,5.60E-05,6.53E-05,6.53E-05,9.33E-06,9.33E-06,0,0,0.011543,0.001058785,0,100,0,0,
5.16,0.000251716,0.000270361,9.32E-05,0.000289007,6.53E-05,5.59E-05,5.59E-05,6.53E-05,9.32E-06,9.32E-06,0,0,0.0204865,0.001030968,0,100,0,0,
5.17,0.000205101,0.000326296,9.32E-05,0.000279683,6.53E-05,6.53E-05,5.59E-05,6.53E-05,9.32E-06,0,0,0,0.0315603,0.000994324,0,100,0,0,
5.18,0.000167817,0.000391572,9.32E-05,0.000261048,6.53E-05,6.53E-05,6.53E-05,6.53E-05,0,0,0,0,0.0452642,0.000947632,0,100,0,0,
5.19,0.000139859,0.000456873,9.32E-05,0.000223774,5.59E-05,6.53E-05,6.53E-05,6.53E-05,0,0,0,0,0.0512168,0.000902488,0,100,0,0,
